0	Present Perfect mi Past Simple mı, hangisini ne zaman kullanacağım?
0	Bitmiş geçmiş zaman ile bugüne bağlantısı devam eden durumları bu iki tense arasında nasıl ayırırım?
0	present perfect vs past simple kısaca ne fark var
0	Present Perfect ve Past Simple usage farkını Türkçe anlat
0	Dün olan bir şeyle etkisi hâlâ süren bir olayı anlatırken hangisini seçmeliyim?
0	Past Simple her geçmiş olayda kullanılır diye düşünüyorum; Present Perfect ne zaman devreye giriyor?
0	Sıfırdan öğrenen birine Present Perfect ve Past Simple farkını öğretir misin?
0	aga present perfect mi past simple mı kafam karıştı neye bakıp seçecem
0	Present Perfect vs Past Simple seçerken en önemli ipuçları nelerdir?
0	Present Perfect vs Past Simple arasındaki farkı yapı ve anlam açısından karşılaştır.
0	Present Perfect vs Past Simple için ne zaman hangi seçeneği kullanmamak gerekir?
0	Sınav sorusunda Present Perfect vs Past Simple arasında seçim yaparken hangi işaretlere bakmalıyım?
0	Türkçeden İngilizceye çevirirken Present Perfect vs Past Simple seçimini nasıl yaparım?
0	Present Perfect vs Past Simple için bana kısa bir karar mantığı ver; hangi durumda hangisine yönelmeliyim?
0	Present Perfect ile Past Simple arasındaki fark nedir?
1	for ve since arasındaki fark nedir?
1	For mu since mı, neye göre seçiyorum?
1	Bir sürenin uzunluğunu ve başlangıç noktasını anlatırken for ile since nasıl ayrılır?
1	for since farkı kısa anlat
1	for vs since usage Türkçe açıkla
1	Üç yıldır burada yaşıyorum derken süreyi ve başlangıç tarihini nasıl farklı ifade ederim?
1	Since üç yıl demek doğru mu, değilse neden?
1	Yeni başlayan birine for ve since seçimini öğret
1	for mu since mı yazacam süre mi başlangıç mı olayını anlamadım
1	for vs since seçerken en önemli ipuçları nelerdir?
1	for vs since arasındaki farkı yapı ve anlam açısından karşılaştır.
1	for vs since için ne zaman hangi seçeneği kullanmamak gerekir?
1	Sınav sorusunda for vs since arasında seçim yaparken hangi işaretlere bakmalıyım?
1	Türkçeden İngilizceye çevirirken for vs since seçimini nasıl yaparım?
1	for vs since için bana kısa bir karar mantığı ver; hangi durumda hangisine yönelmeliyim?
2	a, an ve the article'ları nasıl kullanılır?
2	Bir isimden önce a/an mı the mı koyacağımı nasıl anlarım?
2	Bir şeyden ilk kez bahsetmekle belirli ve bilinen bir şeyden bahsetmek arasında article seçimi nasıl değişir?
2	a an the farkı ne kısaca
2	a/an vs the usage Türkçe anlat
2	Bir köpek gördüm deyip sonra aynı köpekten tekrar bahsederken article nasıl değişir?
2	The sadece dünyada tek olan şeylerde kullanılır diye biliyorum; doğru mu?
2	Article bilmeyen birine a, an ve the mantığını öğret
2	a mı an mı the mı yazcam aga ne zaman hangisi
2	a/an/the seçerken en önemli ipuçları nelerdir?
2	a/an/the arasındaki farkı yapı ve anlam açısından karşılaştır.
2	a/an/the için ne zaman hangi seçeneği kullanmamak gerekir?
2	Sınav sorusunda a/an/the arasında seçim yaparken hangi işaretlere bakmalıyım?
2	Türkçeden İngilizceye çevirirken a/an/the seçimini nasıl yaparım?
2	a/an/the için bana kısa bir karar mantığı ver; hangi durumda hangisine yönelmeliyim?
3	zero, first, second ve third conditional arasındaki fark nedir?
3	Zero, first, second ve third conditional'ı ne zaman kullanacağım?
3	Genel gerçek, olası gelecek, hayali durum ve geçmişte gerçekleşmemiş şartları conditional türleriyle nasıl ayırırım?
3	0 1 2 3 conditional farkı kısaca
3	zero first second third conditional usage Türkçe anlat
3	Su yüz derecede kaynar, yarın yağmur yağarsa, zengin olsaydım ve dün çalışsaydım örnekleri hangi conditional?
3	Second ve third conditional aynı şey gibi geliyor; temel farkları ne?
3	Conditionals bilmeyen birine dört türü yapı ve anlamıyla öğret
3	conditional 0 1 2 3 hangisi neydi çok karıştırıyorum
3	Conditionals seçerken en önemli ipuçları nelerdir?
3	Conditionals arasındaki farkı yapı ve anlam açısından karşılaştır.
3	Sınav sorusunda Conditionals arasında seçim yaparken hangi işaretlere bakmalıyım?
3	Türkçeden İngilizceye çevirirken Conditionals seçimini nasıl yaparım?
3	Conditionals için bana kısa bir karar mantığı ver; hangi durumda hangisine yönelmeliyim?
3	Conditionals için ne zaman hangi seçeneği kullanmamak gerekir?
4	active voice ve passive voice arasındaki fark nedir?
4	Active mi passive mi kullanacağımı nasıl seçerim?
4	Eylemi yapan kişiye odaklanmakla eylemden etkilenen şeye odaklanmak active/passive seçimini nasıl değiştirir?
4	active passive farkı kısa anlat
4	active voice vs passive voice usage Türkçe açıkla
4	Polis hırsızı yakaladı ile hırsız polis tarafından yakalandı cümlelerinde yapı nasıl değişiyor?
4	Passive sadece yapan kişiyi bilmediğimizde kullanılır sanıyordum; doğru mu?
4	Yeni başlayan birine active ve passive voice mantığını öğret
4	active mi passive mi neye göre yazıyoruz aga
4	Active vs Passive seçerken en önemli ipuçları nelerdir?
4	Active vs Passive arasındaki farkı yapı ve anlam açısından karşılaştır.
4	Active vs Passive için ne zaman hangi seçeneği kullanmamak gerekir?
4	Sınav sorusunda Active vs Passive arasında seçim yaparken hangi işaretlere bakmalıyım?
4	Türkçeden İngilizceye çevirirken Active vs Passive seçimini nasıl yaparım?
4	Active vs Passive için bana kısa bir karar mantığı ver; hangi durumda hangisine yönelmeliyim?
5	can, could, may, might ve must nasıl kullanılır?
5	Can, could, may, might ve must arasındaki farkları tek tek anlatır mısın?
5	Yetenek, izin, olasılık ve zorunluluk anlatırken can/could/may/might/must hangisini ne zaman kullanırım?
5	can could may might must kısa farkları ne
5	can could may might must usage Türkçe anlat
5	Yüzebilirim, çocukken yüzebilirdim, belki gelir ve bunu yapmak zorundasın anlamlarını hangi modal ile kurarım?
5	Could sadece can'in geçmiş hali midir, may ve might aynı mı, must ne anlatır?
5	Modalları ilk kez öğrenen birine can could may might must öğret
5	can could may might must birbirine girdi tek tek ne işe yarıyor
5	Modals seçerken en önemli ipuçları nelerdir?
5	Modals arasındaki farkı yapı ve anlam açısından karşılaştır.
5	Modals için ne zaman hangi seçeneği kullanmamak gerekir?
5	Sınav sorusunda Modals arasında seçim yaparken hangi işaretlere bakmalıyım?
5	Türkçeden İngilizceye çevirirken Modals seçimini nasıl yaparım?
5	Modals için bana kısa bir karar mantığı ver; hangi durumda hangisine yönelmeliyim?
6	Present Simple ile Present Continuous arasındaki fark nedir?
6	Present Simple mı Present Continuous mı, nasıl karar vereceğim?
6	Alışkanlık ve genel doğrularla şu anda olan veya geçici durumları bu iki tense arasında nasıl ayırırım?
6	present simple present continuous farkı kısa
6	Present Simple vs Present Continuous usage Türkçe anlat
6	Her gün çalışıyorum ile şu anda çalışıyorum derken hangi tense neden değişiyor?
6	Yeni başlayan birine Present Simple ve Present Continuous mantığını öğret
6	Present Simple vs Continuous arasındaki farkı yapı ve anlam açısından karşılaştır.
6	Present Simple vs Continuous için ne zaman hangi seçeneği kullanmamak gerekir?
6	Türkçeden İngilizceye çevirirken Present Simple vs Continuous seçimini nasıl yaparım?
6	Present Simple vs Continuous için bana kısa bir karar mantığı ver; hangi durumda hangisine yönelmeliyim?
6	Present Continuous her şimdiki zaman cümlesinde kullanılır mı?
6	simple mı continuous mı aga rutinle şu an olayını ayıramadım
6	Present Simple vs Continuous seçerken en önemli ipuçları nelerdir?
6	Sınav sorusunda Present Simple vs Continuous arasında seçim yaparken hangi işaretlere bakmalıyım?
7	will, be going to ve Present Continuous ile gelecek anlatımı arasındaki fark nedir?
7	Gelecek için will mi going to mu Present Continuous mı kullanacağım?
7	Konuşma anındaki karar, önceden yapılmış plan ve kesinleşmiş arrangement için hangi future yapısını kullanırım?
7	will going to present continuous future farkı kısa
7	will vs going to vs Present Continuous future usage Türkçe anlat
7	Telefon çalınca ben açarım demek, önceden tatil planlamak ve yarın doktor randevum var demek için hangi yapılar kullanılır?
7	Going to ile Present Continuous gelecek için aynı şey mi?
7	Future forms bilmeyen birine will going to ve Present Continuous öğret
7	gelecek anlatırken will mi going to mu continuous mı kafam yandı
7	Future forms seçerken en önemli ipuçları nelerdir?
7	Future forms arasındaki farkı yapı ve anlam açısından karşılaştır.
7	Future forms için ne zaman hangi seçeneği kullanmamak gerekir?
7	Sınav sorusunda Future forms arasında seçim yaparken hangi işaretlere bakmalıyım?
7	Türkçeden İngilizceye çevirirken Future forms seçimini nasıl yaparım?
7	Future forms için bana kısa bir karar mantığı ver; hangi durumda hangisine yönelmeliyim?
8	countable ve uncountable nouns arasındaki fark nedir?
8	Bir noun'un countable mı uncountable mı olduğunu nasıl anlarım?
8	Sayılarla, a/an ile ve plural kullanımı açısından countable ve uncountable isimler nasıl ayrılır?
8	countable uncountable farkı kısa
8	countable vs uncountable nouns usage Türkçe anlat
8	Two apples diyebiliyorum ama two waters niye her zaman olmuyor; mantığı nedir?
8	Uncountable isimlerin hiç çoğulu olmaz ve a/an alamaz diyebilir miyiz?
8	Yeni başlayan birine countable ve uncountable noun öğret
8	hangi isim sayılır hangisi sayılmaz nasıl anlıcam
8	Countable vs Uncountable seçerken en önemli ipuçları nelerdir?
8	Countable vs Uncountable arasındaki farkı yapı ve anlam açısından karşılaştır.
8	Countable vs Uncountable için ne zaman hangi seçeneği kullanmamak gerekir?
8	Sınav sorusunda Countable vs Uncountable arasında seçim yaparken hangi işaretlere bakmalıyım?
8	Türkçeden İngilizceye çevirirken Countable vs Uncountable seçimini nasıl yaparım?
8	Countable vs Uncountable için bana kısa bir karar mantığı ver; hangi durumda hangisine yönelmeliyim?
9	comparative ve superlative adjectives nasıl kullanılır?
9	Comparative ile superlative arasındaki fark ne, ne zaman hangisini kullanırım?
9	İki şeyi karşılaştırırken ve bir gruptaki en üstün olanı söylerken -er/-est ile more/most nasıl kullanılır?
9	comparative superlative farkı kısa
9	comparative vs superlative usage Türkçe anlat
9	Ali Veli'den uzun ve Ali sınıftaki en uzun kişi cümleleri hangi yapılara örnek?
9	Superlative sadece üç veya daha fazla şey varsa mı kullanılır?
9	Yeni başlayan birine comparative ve superlative öğret
9	bigger biggest more most olayını nasıl ayıracam
9	Comparative vs Superlative seçerken en önemli ipuçları nelerdir?
9	Comparative vs Superlative arasındaki farkı yapı ve anlam açısından karşılaştır.
9	Comparative vs Superlative için ne zaman hangi seçeneği kullanmamak gerekir?
9	Sınav sorusunda Comparative vs Superlative arasında seçim yaparken hangi işaretlere bakmalıyım?
9	Türkçeden İngilizceye çevirirken Comparative vs Superlative seçimini nasıl yaparım?
9	Comparative vs Superlative için bana kısa bir karar mantığı ver; hangi durumda hangisine yönelmeliyim?
10	defining ve non-defining relative clauses arasındaki fark nedir?
10	Defining relative clause mı non-defining mi, nasıl ayıracağım?
10	Kişiyi veya şeyi tanımlamak için gerekli bilgi ile sadece ekstra bilgi veren relative clause arasındaki fark nedir?
10	defining non-defining relative clause farkı kısa
10	defining vs non-defining relative clauses usage Türkçe anlat
10	Hangi öğrenciyi kastettiğimi belirten bilgi ile sadece öğrenci hakkında ek bilgi veren kısmı nasıl ayırırım?
